[2026-04-12T10:36:56-04:00] Clear uploads executed | {"deleted_images":1,"deleted_audio":0,"deleted_logs":1,"errors":[]}
[2026-04-12T12:46:39-04:00] Incoming request | {"method":"POST","action":"delete_layout","get":{"action":"delete_layout"},"post_keys":[],"files_keys":[]}
[2026-04-12T12:46:43-04:00] Incoming request | {"method":"POST","action":"delete_layout","get":{"action":"delete_layout"},"post_keys":[],"files_keys":[]}
[2026-04-12T12:46:46-04:00] Incoming request | {"method":"GET","action":"list_assets","get":{"action":"list_assets","type":"image"},"post_keys":[],"files_keys":[]}
[2026-04-12T12:46:46-04:00] Incoming request | {"method":"GET","action":"list_assets","get":{"action":"list_assets","type":"audio"},"post_keys":[],"files_keys":[]}
[2026-04-12T12:49:11-04:00] Incoming request | {"method":"POST","action":"save_all","get":{"action":"save_all"},"post_keys":[],"files_keys":[]}
[2026-04-12T12:49:48-04:00] Incoming request | {"method":"GET","action":"list_assets","get":{"action":"list_assets","type":"image"},"post_keys":[],"files_keys":[]}
[2026-04-12T12:50:33-04:00] Incoming request | {"method":"GET","action":"list_assets","get":{"action":"list_assets","type":"image"},"post_keys":[],"files_keys":[]}
[2026-04-12T12:50:33-04:00] Incoming request | {"method":"GET","action":"list_assets","get":{"action":"list_assets","type":"audio"},"post_keys":[],"files_keys":[]}
[2026-04-12T12:50:57-04:00] Incoming request | {"method":"POST","action":"save_all","get":{"action":"save_all"},"post_keys":[],"files_keys":[]}
[2026-04-12T12:52:01-04:00] Incoming request | {"method":"POST","action":"delete_theme","get":{"action":"delete_theme"},"post_keys":[],"files_keys":[]}
[2026-04-12T12:52:01-04:00] Incoming request | {"method":"POST","action":"delete_theme","get":{"action":"delete_theme"},"post_keys":[],"files_keys":[]}
[2026-04-12T12:52:02-04:00] Incoming request | {"method":"POST","action":"delete_theme","get":{"action":"delete_theme"},"post_keys":[],"files_keys":[]}
[2026-04-12T12:52:03-04:00] Incoming request | {"method":"POST","action":"delete_theme","get":{"action":"delete_theme"},"post_keys":[],"files_keys":[]}
[2026-04-12T12:52:06-04:00] Incoming request | {"method":"POST","action":"delete_theme","get":{"action":"delete_theme"},"post_keys":[],"files_keys":[]}
[2026-04-12T12:52:10-04:00] Incoming request | {"method":"POST","action":"delete_layout","get":{"action":"delete_layout"},"post_keys":[],"files_keys":[]}
[2026-04-12T12:52:17-04:00] Incoming request | {"method":"POST","action":"save_all","get":{"action":"save_all"},"post_keys":[],"files_keys":[]}
[2026-04-12T12:52:40-04:00] Incoming request | {"method":"GET","action":"list_assets","get":{"action":"list_assets","type":"image"},"post_keys":[],"files_keys":[]}
[2026-04-12T12:52:40-04:00] Incoming request | {"method":"GET","action":"list_assets","get":{"action":"list_assets","type":"audio"},"post_keys":[],"files_keys":[]}
[2026-04-12T12:52:47-04:00] Incoming request | {"method":"POST","action":"delete_theme","get":{"action":"delete_theme"},"post_keys":[],"files_keys":[]}
